Job Level,Marital Status,Distance from Home,Monthly Income,Company Tenure,Age,Years at Company,Remote Work,Work-Life Balance,Number of Dependents,Attrition
1,1,0.21428571428571425,0.27903236614621724,0.6904761904761905,0.3170731707317073,0.36,0,0,0.0,Stayed
1,0,0.2040816326530612,0.2886819004221671,0.15079365079365079,1.0,0.06,0,3,0.5,Stayed
1,1,0.1020408163265306,0.4645848689941701,0.5714285714285714,0.14634146341463422,0.18000000000000002,0,2,0.5,Stayed
1,2,0.26530612244897955,0.18515043891978827,0.38095238095238093,0.43902439024390244,0.12000000000000001,1,2,0.3333333333333333,Stayed
2,0,0.7142857142857142,0.24090330362527645,0.5238095238095237,0.9268292682926831,0.8,0,1,0.0,Stayed
1,1,0.36734693877551017,0.5864102392280373,0.35714285714285715,0.48780487804878053,0.039999999999999994,0,1,0.0,Left
0,0,0.7551020408163265,0.1645111572740066,0.7222222222222221,0.7073170731707319,0.44,0,1,0.5,Left
0,1,0.04081632653061224,0.6699055149768813,0.6825396825396826,0.7317073170731709,0.3,0,0,0.6666666666666666,Stayed
0,1,0.38775510204081626,0.17067613750586347,0.5793650793650793,0.9512195121951221,0.86,0,2,0.6666666666666666,Stayed
0,2,0.5714285714285714,0.40829591905112916,0.3412698412698412,0.14634146341463422,0.0,0,3,0.6666666666666666,Left
0,2,0.510204081632653,0.2825839308450044,0.11904761904761904,0.2926829268292683,0.22,0,2,0.16666666666666666,Left
1,2,0.2551020408163265,0.5175902968572004,0.2857142857142857,0.26829268292682934,0.09999999999999999,0,3,0.0,Left
0,1,0.7857142857142856,0.5235542451249748,0.5238095238095237,0.7073170731707319,0.74,0,1,0.0,Left
1,0,0.2959183673469387,0.4599611338202774,0.6507936507936507,0.3170731707317073,0.42,0,1,0.3333333333333333,Stayed
2,2,0.9897959183673468,0.34336259465254976,0.746031746031746,0.5365853658536586,0.58,0,2,0.0,Stayed
0,2,0.47959183673469385,0.26469208604168065,0.15079365079365079,0.5365853658536586,0.06,1,3,0.0,Left
1,2,0.16326530612244897,0.47014675333378014,0.48412698412698413,0.024390243902439046,0.16,0,0,0.5,Left
1,2,0.8673469387755102,0.5030489847885815,0.1349206349206349,0.3658536585365854,0.0,0,2,0.0,Stayed
2,0,0.6020408163265305,0.33679555049252835,0.5396825396825398,0.7560975609756098,0.72,0,1,0.6666666666666666,Stayed
2,1,0.09183673469387754,0.4229712524291363,0.5873015873015872,0.26829268292682934,0.16,0,1,0.0,Stayed
1,0,0.173469387755102,0.5030489847885815,0.5555555555555556,0.8048780487804879,0.8,0,2,0.5,Stayed
1,1,0.9591836734693877,0.4673993164913221,0.7380952380952381,0.9512195121951221,0.64,0,2,0.16666666666666666,Stayed
0,2,0.22448979591836732,0.45922401661864237,0.14285714285714285,0.5121951219512195,0.0,0,0,0.0,Left
1,2,0.1530612244897959,0.3114655230181599,0.30158730158730157,0.43902439024390244,0.24000000000000002,0,1,0.16666666666666666,Left
1,2,0.6326530612244897,0.22984654560075052,0.4603174603174603,0.878048780487805,0.08,0,2,0.0,Left
0,0,0.9285714285714285,0.25202707230449645,0.16666666666666666,0.7317073170731709,0.16,0,1,0.0,Left
1,2,0.8673469387755102,0.7559471956041011,0.6428571428571428,0.12195121951219517,0.24000000000000002,0,1,0.16666666666666666,Stayed
0,1,0.2959183673469387,0.42518260403404146,0.5158730158730158,0.6585365853658538,0.39999999999999997,1,2,0.16666666666666666,Stayed
2,1,0.47959183673469385,0.1547276016886685,0.6507936507936507,0.7317073170731709,0.62,0,2,0.0,Stayed
1,1,0.5816326530612245,0.47604369094686055,0.7063492063492063,0.6585365853658538,0.66,1,0,0.6666666666666666,Stayed
2,0,0.5510204081632653,0.3422904241774442,0.20634920634920634,0.14634146341463422,0.2,0,2,0.3333333333333333,Stayed
